f 0.300000 0.500000 1.000000 
0 0 0 sand_white
0 0 1 sand_white
0 0 2 sand_white
0 0 3 sand_white
0 0 4 sand_white
0 0 5 sand_white
0 0 6 sand_white
0 0 7 sand_white
0 0 8 sand_white
0 0 9 sand_white
0 0 10 sand_white
0 0 11 sand_white
0 0 12 sand_white
0 0 13 sand_white
0 1 0 sand_white
0 1 1 sand_white
0 1 2 sand_white
0 1 3 sand_white
0 1 4 sand_white
0 1 5 sand_white
0 1 6 sand_white
0 1 7 sand_white
0 1 8 sand_white
0 1 9 sand_white
0 1 10 sand_white
0 1 11 sand_white
0 1 12 sand_white
0 1 13 sand_white
0 2 0 sand_white
0 2 1 sand_white
0 2 2 sand_white
0 2 3 sand_white
0 2 4 sand_white
0 2 5 sand_white
0 2 6 sand_white
0 2 7 sand_white
0 2 8 sand_white
0 2 9 sand_white
0 2 10 sand_white
0 2 11 sand_white
0 2 12 sand_white
0 2 13 sand_white
0 3 0 sand_white
0 3 1 sand_white
0 3 2 sand_white
0 3 3 sand_white
0 3 4 sand_white
0 3 5 sand_white
0 3 6 sand_white
0 3 7 sand_white
0 3 8 sand_white
0 3 9 sand_white
0 3 10 sand_white
0 3 11 sand_white
0 3 12 sand_white
0 3 13 sand_white
0 4 0 sand_white
0 4 1 sand_white
0 4 2 sand_white
0 4 3 sand_white
0 4 4 sand_white
0 4 5 sand_white
0 4 6 sand_white
0 4 7 sand_white
0 4 8 sand_white
0 4 9 sand_white
0 4 10 sand_white
0 4 11 sand_white
0 4 12 sand_white
0 4 13 sand_white
0 5 0 sand_white
0 5 1 sand_white
0 5 2 sand_white
0 5 3 sand_white
0 5 4 sand_white
0 5 5 sand_white
0 5 6 sand_white
0 5 7 sand_white
0 5 8 sand_white
0 5 9 sand_white
0 5 10 sand_white
0 5 11 sand_white
0 5 12 sand_white
0 5 13 sand_white
0 6 0 sand_white
0 6 1 sand_white
0 6 2 sand_white
0 6 3 sand_white
0 6 4 sand_white
0 6 5 sand_white
0 6 6 sand_white
0 6 7 sand_white
0 6 8 sand_white
0 6 9 sand_white
0 6 10 sand_white
0 6 11 sand_white
0 6 12 sand_white
0 6 13 sand_white
0 7 0 sand_white
0 7 1 sand_white
0 7 2 sand_white
0 7 3 sand_white
0 7 4 sand_white
0 7 5 sand_white
0 7 6 sand_white
0 7 7 sand_white
0 7 8 sand_white
0 7 9 sand_white
0 7 10 sand_white
0 7 11 sand_white
0 7 12 sand_white
0 7 13 sand_white
0 8 0 sand_white
0 8 1 sand_white
0 8 2 sand_white
0 8 3 sand_white
0 8 4 sand_white
0 8 5 sand_white
0 8 6 sand_white
0 8 7 sand_white
0 8 8 sand_white
0 8 9 sand_white
0 8 10 sand_white
0 8 11 sand_white
0 8 12 sand_white
0 8 13 sand_white
0 9 0 sand_white
0 9 1 sand_white
0 9 2 sand_white
0 9 3 sand_white
0 9 4 sand_white
0 9 5 sand_white
0 9 6 sand_white
0 9 7 sand_white
0 9 8 sand_white
0 9 9 sand_white
0 9 10 sand_white
0 9 11 sand_white
0 9 12 sand_white
0 9 13 sand_white
0 9 16 coconut
0 9 17 palms
0 10 0 sand_white
0 10 1 sand_white
0 10 2 sand_white
0 10 3 sand_white
0 10 4 sand_white
0 10 5 sand_white
0 10 6 sand_white
0 10 7 sand_white
0 10 8 sand_white
0 10 9 sand_white
0 10 10 sand_white
0 10 11 sand_white
0 10 12 sand_white
0 10 13 sand_white
0 11 0 sand_white
0 11 1 sand_white
0 11 2 sand_white
0 11 3 sand_white
0 11 4 sand_white
0 11 5 sand_white
0 11 6 sand_white
0 11 7 sand_white
0 11 8 sand_white
0 11 9 sand_white
0 11 10 sand_white
0 11 11 sand_white
0 11 12 sand_white
0 11 13 sand_white
0 12 0 sand_white
0 12 1 sand_white
0 12 2 sand_white
0 12 3 sand_white
0 12 4 sand_white
0 12 5 sand_white
0 12 6 sand_white
0 12 7 sand_white
0 12 8 sand_white
0 12 9 sand_white
0 12 10 sand_white
0 12 11 sand_white
0 12 12 sand_white
0 12 13 sand_white
0 13 0 sand_white
0 13 1 sand_white
0 13 2 sand_white
0 13 3 sand_white
0 13 4 sand_white
0 13 5 sand_white
0 13 6 sand_white
0 13 7 sand_white
0 13 8 sand_white
0 13 9 sand_white
0 13 10 sand_white
0 13 11 sand_white
0 13 12 sand_white
0 13 13 sand_white
0 14 0 sand_white
0 14 1 sand_white
0 14 2 sand_white
0 14 3 sand_white
0 14 4 sand_white
0 14 5 sand_white
0 14 6 sand_white
0 14 7 sand_white
0 14 8 sand_white
0 14 9 sand_white
0 14 10 sand_white
0 14 11 sand_white
0 14 12 sand_white
0 14 13 sand_white
0 15 0 sand_white
0 15 1 sand_white
0 15 2 sand_white
0 15 3 sand_white
0 15 4 sand_white
0 15 5 sand_white
0 15 6 sand_white
0 15 7 sand_white
0 15 8 sand_white
0 15 9 sand_white
0 15 10 sand_white
0 15 11 sand_white
0 15 12 sand_white
0 16 0 sand_white
0 16 1 sand_white
0 16 2 sand_white
0 16 3 sand_white
0 16 4 sand_white
0 16 5 sand_white
0 16 6 sand_white
0 16 7 sand_white
0 16 8 sand_white
0 16 9 sand_white
0 16 10 sand_white
0 16 11 sand_white
0 16 12 sand_white
0 17 0 sand_white
0 17 1 sand_white
0 17 2 sand_white
0 17 3 sand_white
0 17 4 sand_white
0 17 5 sand_white
0 17 6 sand_white
0 17 7 sand_white
0 17 8 sand_white
0 17 9 sand_white
0 17 10 sand_white
0 17 11 sand_white
0 17 12 sand_white
0 18 0 sand_white
0 18 1 sand_white
0 18 2 sand_white
0 18 3 sand_white
0 18 4 sand_white
0 18 5 sand_white
0 18 6 sand_white
0 18 7 sand_white
0 18 8 sand_white
0 18 9 sand_white
0 18 10 sand_white
0 18 11 sand_white
0 19 0 sand_white
