f 0.800000 0.800000 0.800000 
0 0 0 snow
0 0 1 snow
0 0 2 snow
0 0 3 snow
0 0 4 snow
0 0 5 snow
0 0 6 snow
0 0 7 snow
0 0 8 snow
0 1 0 snow
0 1 1 snow
0 1 2 snow
0 1 3 snow
0 1 4 snow
0 1 5 snow
0 1 6 snow
0 1 7 snow
0 1 8 snow
0 2 0 snow
0 2 1 snow
0 2 2 snow
0 2 3 snow
0 2 4 snow
0 2 5 snow
0 2 6 snow
0 2 7 snow
0 2 8 snow
0 3 0 snow
0 3 1 snow
0 3 2 snow
0 3 3 snow
0 3 4 snow
0 3 5 snow
0 3 6 snow
0 3 7 snow
0 3 8 snow
0 4 0 snow
0 4 1 snow
0 4 2 snow
0 4 3 snow
0 4 4 snow
0 4 5 snow
0 4 6 snow
0 4 7 snow
0 4 8 snow
0 5 0 snow
0 5 1 snow
0 5 2 snow
0 5 3 snow
0 5 4 snow
0 5 5 snow
0 5 6 snow
0 5 7 snow
0 5 8 snow
0 6 0 snow
0 6 1 snow
0 6 2 snow
0 6 3 snow
0 6 4 snow
0 6 5 snow
0 6 6 snow
0 6 7 snow
0 6 8 snow
0 7 0 snow
0 7 1 snow
0 7 2 snow
0 7 3 snow
0 7 4 snow
0 7 5 snow
0 7 6 snow
0 7 7 snow
0 7 8 snow
0 8 0 snow
0 8 1 snow
0 8 2 snow
0 8 3 snow
0 8 4 snow
0 8 5 snow
0 8 6 snow
0 8 7 snow
0 8 8 snow
0 9 0 snow
0 9 1 snow
0 9 2 snow
0 9 3 snow
0 9 4 snow
0 9 5 snow
0 9 6 snow
0 9 7 snow
0 9 8 snow
0 10 0 snow
0 10 1 snow
0 10 2 snow
0 10 3 snow
0 10 4 snow
0 10 5 snow
0 10 6 snow
0 10 7 snow
0 10 8 snow
0 11 0 snow
0 11 1 snow
0 11 2 snow
0 11 3 snow
0 11 4 snow
0 11 5 snow
0 11 6 snow
0 11 7 snow
0 11 8 snow
0 12 0 snow
0 12 1 snow
0 12 2 snow
0 12 3 snow
0 12 4 snow
0 12 5 snow
0 12 6 snow
0 12 7 snow
0 12 8 snow
0 13 0 snow
0 13 1 snow
0 13 2 snow
0 13 3 snow
0 13 4 snow
0 13 5 snow
0 13 6 snow
0 13 7 snow
0 13 8 snow
0 14 0 snow
0 14 1 snow
0 14 2 snow
0 14 3 snow
0 14 4 snow
0 14 5 snow
0 14 6 snow
0 14 7 snow
0 14 8 snow
0 15 0 snow
0 15 1 snow
0 15 2 snow
0 15 3 snow
0 15 4 snow
0 15 5 snow
0 15 6 snow
0 15 7 snow
0 15 8 snow
0 16 0 snow
0 16 1 snow
0 16 2 snow
0 16 3 snow
0 16 4 snow
0 16 5 snow
0 16 6 snow
0 16 7 snow
0 16 8 snow
0 17 0 snow
0 17 1 snow
0 17 2 snow
0 17 3 snow
0 17 4 snow
0 17 5 snow
0 17 6 snow
0 17 7 snow
0 17 8 snow
0 18 0 snow
0 18 1 snow
0 18 2 snow
0 18 3 snow
0 18 4 snow
0 18 5 snow
0 18 6 snow
0 18 7 snow
0 18 8 snow
0 19 0 snow
0 19 1 snow
0 19 2 snow
0 19 3 snow
0 19 4 snow
0 19 5 snow
0 19 6 snow
0 19 7 snow
0 19 8 snow
0 20 0 snow
0 20 1 snow
0 20 2 snow
0 20 3 snow
0 20 4 snow
0 20 5 snow
0 20 6 snow
0 20 7 snow
0 20 8 snow
0 21 0 snow
0 21 1 snow
0 21 2 snow
0 21 3 snow
0 21 4 snow
0 21 5 snow
0 21 6 snow
0 21 7 snow
0 21 8 snow
0 22 0 snow
0 22 1 snow
0 22 2 snow
0 22 3 snow
0 22 4 snow
0 22 5 snow
0 22 6 snow
0 22 7 snow
0 22 8 snow
0 23 0 snow
0 23 1 snow
0 23 2 snow
0 23 3 snow
0 23 4 snow
0 23 5 snow
0 23 6 snow
0 23 7 snow
0 23 8 snow
0 24 0 snow
0 24 1 snow
0 24 2 snow
0 24 3 snow
0 24 4 snow
0 24 5 snow
0 24 6 snow
0 24 7 snow
0 24 8 snow
0 25 0 snow
0 25 1 snow
0 25 2 snow
0 25 3 snow
0 25 4 snow
0 25 5 snow
0 25 6 snow
0 25 7 snow
0 25 8 snow
0 26 0 snow
0 26 1 snow
0 26 2 snow
0 26 3 snow
0 26 4 snow
0 26 5 snow
0 26 6 snow
0 26 7 snow
0 26 8 snow
0 27 0 snow
0 27 1 snow
0 27 2 snow
0 27 3 snow
0 27 4 snow
0 27 5 snow
0 27 6 snow
0 27 7 snow
0 27 8 snow
0 27 9 snow
0 28 0 snow
0 28 1 snow
0 28 2 snow
0 28 3 snow
0 28 4 snow
0 28 5 snow
0 28 6 snow
0 28 7 snow
0 28 8 snow
0 28 9 snow
0 29 0 snow
0 29 1 snow
0 29 2 snow
0 29 3 snow
0 29 4 snow
0 29 5 snow
0 29 6 snow
0 29 7 snow
0 29 8 snow
0 29 9 snow
0 30 0 snow
0 30 1 snow
0 30 2 snow
0 30 3 snow
0 30 4 snow
0 30 5 snow
0 30 6 snow
0 30 7 snow
0 30 8 snow
0 30 9 snow
0 31 0 snow
0 31 1 snow
0 31 2 snow
0 31 3 snow
0 31 4 snow
0 31 5 snow
0 31 6 snow
0 31 7 snow
0 31 8 snow
0 31 9 snow
0 32 0 snow
0 32 1 snow
0 32 2 snow
0 32 3 snow
0 32 4 snow
0 32 5 snow
0 32 6 snow
0 32 7 snow
0 32 8 snow
0 32 9 snow
0 33 0 snow
0 33 1 snow
0 33 2 snow
0 33 3 snow
0 33 4 snow
0 33 5 snow
0 33 6 snow
0 33 7 snow
0 33 8 snow
0 33 9 snow
0 34 0 snow
0 34 1 snow
0 34 2 snow
0 34 3 snow
0 34 4 snow
0 34 5 snow
0 34 6 snow
0 34 7 snow
0 34 8 snow
0 34 9 snow
0 35 0 snow
0 35 1 snow
0 35 2 snow
0 35 3 snow
0 35 4 snow
0 35 5 snow
0 35 6 snow
0 35 7 snow
0 35 8 snow
0 35 9 snow
0 36 0 snow
0 36 1 snow
0 36 2 snow
0 36 3 snow
0 36 4 snow
0 36 5 snow
0 36 6 snow
0 36 7 snow
0 36 8 snow
0 36 9 snow
0 37 0 snow
0 37 1 snow
0 37 2 snow
0 37 3 snow
0 37 4 snow
0 37 5 snow
0 37 6 snow
0 37 7 snow
0 37 8 snow
0 37 9 snow
0 38 0 snow
0 38 1 snow
0 38 2 snow
0 38 3 snow
0 38 4 snow
0 38 5 snow
0 38 6 snow
0 38 7 snow
0 38 8 snow
0 38 9 snow
0 39 0 snow
0 39 1 snow
0 39 2 snow
0 39 3 snow
0 39 4 snow
0 39 5 snow
0 39 6 snow
0 39 7 snow
0 39 8 snow
0 39 9 snow
0 40 0 snow
0 40 1 snow
0 40 2 snow
0 40 3 snow
0 40 4 snow
0 40 5 snow
0 40 6 snow
0 40 7 snow
0 40 8 snow
0 40 9 snow
0 41 0 snow
0 41 1 snow
0 41 2 snow
