f 0.600000 0.600000 0.600000 
0 0 0 snow
0 0 1 snow
0 0 2 snow
0 0 3 snow
0 0 4 snow
0 0 5 snow
0 0 6 snow
0 0 7 snow
0 0 8 pavement
0 0 9 pavement
0 0 10 pavement
0 0 11 pavement
0 0 12 pavement
0 1 0 snow
0 1 1 snow
0 1 2 snow
0 1 3 snow
0 1 4 snow
0 1 5 snow
0 1 6 snow
0 1 7 snow
0 1 8 pavement
0 1 9 pavement
0 1 10 pavement
0 1 11 pavement
0 1 12 pavement
0 2 0 snow
0 2 1 snow
0 2 2 snow
0 2 3 snow
0 2 4 snow
0 2 5 snow
0 2 6 snow
0 2 7 snow
0 2 8 pavement
0 2 9 pavement
0 2 10 pavement
0 2 11 pavement
0 2 12 pavement
0 3 0 snow
0 3 1 snow
0 3 2 snow
0 3 3 snow
0 3 4 snow
0 3 5 snow
0 3 6 snow
0 3 7 snow
0 3 8 pavement
0 3 9 pavement
0 3 10 pavement
0 3 11 pavement
0 3 12 pavement
0 4 0 snow
0 4 1 snow
0 4 2 snow
0 4 3 snow
0 4 4 snow
0 4 5 snow
0 4 6 snow
0 4 7 snow
0 4 8 pavement
0 4 9 pavement
0 4 10 pavement
0 4 11 pavement
0 4 12 pavement
0 5 0 snow
0 5 1 snow
0 5 2 snow
0 5 3 snow
0 5 4 snow
0 5 5 snow
0 5 6 snow
0 5 7 snow
0 5 8 pavement
0 5 9 pavement
0 5 10 pavement
0 5 11 pavement
0 5 12 pavement
0 6 0 snow
0 6 1 snow
0 6 2 snow
0 6 3 snow
0 6 4 snow
0 6 5 snow
0 6 6 snow
0 6 7 snow
0 6 8 pavement
0 6 9 pavement
0 6 10 pavement
0 6 11 pavement
0 6 12 pavement
0 7 0 snow
0 7 1 snow
0 7 2 snow
0 7 3 snow
0 7 4 snow
0 7 5 snow
0 7 6 snow
0 7 7 snow
0 7 8 pavement
0 7 9 pavement
0 7 10 pavement
0 7 11 pavement
0 7 12 pavement
0 8 0 snow
0 8 1 snow
0 8 2 snow
0 8 3 snow
0 8 4 snow
0 8 5 snow
0 8 6 snow
0 8 7 snow
0 8 8 pavement
0 8 9 pavement
0 8 10 pavement
0 8 11 pavement
0 8 12 pavement
0 9 0 snow
0 9 1 snow
0 9 2 snow
0 9 3 snow
0 9 4 snow
0 9 5 snow
0 9 6 snow
0 9 7 snow
0 9 8 pavement
0 9 9 pavement
0 9 10 pavement
0 9 11 pavement
0 9 12 pavement
0 10 0 snow
0 10 1 snow
0 10 2 snow
0 10 3 snow
0 10 4 snow
0 10 5 snow
0 10 6 snow
0 10 7 snow
0 10 8 pavement
0 10 9 pavement
0 10 10 pavement
0 10 11 pavement
0 10 12 pavement
0 11 0 snow
0 11 1 snow
0 11 2 snow
0 11 3 snow
0 11 4 snow
0 11 5 snow
0 11 6 snow
0 11 7 snow
0 11 8 pavement
0 11 9 pavement
0 11 10 pavement
0 11 11 pavement
0 11 12 pavement
0 12 0 snow
0 12 1 snow
0 12 2 snow
0 12 3 snow
0 12 4 snow
0 12 5 snow
0 12 6 snow
0 12 7 snow
0 12 8 pavement
0 12 9 pavement
0 12 10 pavement
0 12 11 pavement
0 12 12 pavement
0 13 0 snow
0 13 1 snow
0 13 2 snow
0 13 3 snow
0 13 4 snow
0 13 5 snow
0 13 6 snow
0 13 7 snow
0 13 8 pavement
0 13 9 pavement
0 13 10 pavement
0 13 11 pavement
0 13 12 pavement
0 14 0 snow
0 14 1 snow
0 14 2 snow
0 14 3 snow
0 14 4 snow
0 14 5 snow
0 14 6 snow
0 14 7 snow
0 14 8 pavement
0 14 9 pavement
0 14 10 pavement
0 14 11 pavement
0 14 12 pavement
0 15 0 snow
0 15 1 snow
0 15 2 snow
0 15 3 snow
0 15 4 snow
0 15 5 snow
0 15 6 snow
0 15 7 snow
0 15 8 pavement
0 15 9 pavement
0 15 10 pavement
0 15 11 pavement
0 15 12 pavement
0 16 0 snow
0 16 1 snow
0 16 2 snow
0 16 3 snow
0 16 4 snow
0 16 5 snow
0 16 6 snow
0 16 7 snow
0 16 8 pavement
0 16 9 pavement
0 16 10 pavement
0 16 11 pavement
0 16 12 pavement
0 17 0 snow
0 17 1 snow
0 17 2 snow
0 17 3 snow
0 17 4 snow
0 17 5 snow
0 17 6 snow
0 17 7 snow
0 17 8 pavement
0 17 9 pavement
0 17 10 pavement
0 17 11 pavement
0 17 12 pavement
0 18 0 snow
0 18 1 snow
0 18 2 snow
0 18 3 snow
0 18 4 snow
0 18 5 snow
0 18 6 snow
0 18 7 snow
0 18 8 pavement
0 18 9 pavement
0 18 10 pavement
0 18 11 pavement
0 18 12 pavement
0 19 0 snow
0 19 1 snow
0 19 2 snow
0 19 3 snow
0 19 4 snow
0 19 5 snow
0 19 6 snow
0 19 7 snow
0 19 8 pavement
0 19 9 pavement
0 19 10 pavement
0 19 11 pavement
0 19 12 pavement
0 20 0 snow
0 20 1 snow
0 20 2 snow
0 20 3 snow
0 20 4 snow
0 20 5 snow
0 20 6 snow
0 20 7 snow
0 20 8 pavement
0 20 9 pavement
0 20 10 pavement
0 20 11 pavement
0 20 12 pavement
0 21 0 snow
0 21 1 snow
0 21 2 snow
0 21 3 snow
0 21 4 snow
0 21 5 snow
0 21 6 snow
0 21 7 snow
0 21 8 pavement
0 21 9 pavement
0 21 10 pavement
0 21 11 pavement
0 21 12 pavement
0 22 0 snow
0 22 1 snow
0 22 2 snow
0 22 3 snow
0 22 4 snow
0 22 5 snow
0 22 6 snow
0 22 7 snow
0 22 8 pavement
0 22 9 pavement
0 22 10 pavement
0 22 11 pavement
0 22 12 pavement
0 23 0 snow
0 23 1 snow
0 23 2 snow
0 23 3 snow
0 23 4 snow
0 23 5 snow
0 23 6 snow
0 23 7 snow
0 23 8 pavement
0 23 9 pavement
0 23 10 pavement
0 23 11 pavement
0 23 12 pavement
0 24 0 snow
0 24 1 snow
0 24 2 snow
0 24 3 snow
0 24 4 snow
0 24 5 snow
0 24 6 snow
0 24 7 snow
0 24 8 pavement
0 24 9 pavement
0 24 10 pavement
0 24 11 pavement
0 24 12 pavement
0 25 0 snow
0 25 1 snow
0 25 2 snow
0 25 3 snow
0 25 4 snow
0 25 5 snow
0 25 6 snow
0 25 7 snow
0 25 8 pavement
0 25 9 pavement
0 25 10 pavement
0 25 11 pavement
0 25 12 pavement
0 26 0 snow
0 26 1 snow
0 26 2 snow
0 26 3 snow
0 26 4 snow
0 26 5 snow
0 26 6 snow
0 26 7 snow
0 26 8 pavement
0 26 9 pavement
0 26 10 pavement
0 26 11 pavement
0 26 12 pavement
0 27 0 snow
0 27 1 snow
0 27 2 snow
0 27 3 snow
0 27 4 snow
0 27 5 snow
0 27 6 snow
0 27 7 snow
0 27 8 pavement
0 27 9 pavement
0 27 10 pavement
0 27 11 pavement
0 27 12 pavement
0 28 0 snow
0 28 1 snow
0 28 2 snow
0 28 3 snow
0 28 4 snow
0 28 5 snow
0 28 6 snow
